Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.77555756156289E-17,0,0.057,0,0,0,6.075,0.01265625,-8.43075609324729E-19,-4.83012067842292E-19,0.046828125,1.82959116606929E-19,0.0569531249999999,0,0,0,0,0,0,package://car_model/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://car_model/meshes/base_link.STL,,base-2,Coordinate world,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
yaw_link,0.0537035888519797,2.77555756156289E-17,0.0712964111480203,0,0,0,0.126568478674109,0.000221320169573416,1.48946522374663E-20,-0.000162758542794411,0.000414478500991876,1.37587819480297E-21,0.000221320169573416,0,0,0,0,0,0,package://car_model/meshes/yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_model/meshes/yaw_link.STL,,yaw_link-1,Coordinate base,Axis6,yaw_joint,revolute,0,0,0.057,0,0,0,base_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
roll_link,0,-0.0512022585563426,0.038194744084013,0,0,0,0.118408478674109,0.000321578851110391,-3.97716332051993E-21,-1.40410282009952E-21,0.000139911584896368,0.000125539633856422,0.000209285104368979,0,0,0,0,0,0,package://car_model/meshes/roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_model/meshes/roll_link.STL,,roll_link-1,Coordinate roll,Axis7,roll_joint,revolute,0.08,0,0.125,3.14159265358979,-1.5707963267949,0,yaw_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
pitch_link,-5.55111512312578E-17,0.00408688138606272,0.0279674424503152,0,0,0,0.0677397308399315,5.24830874281838E-05,-5.05875770299915E-22,4.8065064995983E-21,5.08193710319635E-05,-7.19691411372773E-06,1.59732208507003E-05,0,0,0,0,0,0,package://car_model/meshes/pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_model/meshes/pitch_link.STL,,pitch_link-1,Coordinate pitch,Axis8,pitch_joint,revolute,0,-0.08,0.0799999999999999,-1.5707963267949,0,0,roll_link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
w1_link,-1.73472347597681E-18,0,5.55111512312578E-17,0,0,0,0.258835255001734,0.000194189872502159,5.56337966357173E-36,1.49875529729842E-36,0.000194189872502159,-7.6736271221679E-37,0.000353817262685931,0,0,0,0,0,0,package://car_model/meshes/w1_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_model/meshes/w1_link.STL,,wheel-1,Coordinate w1,Axis5,w1_joint,continuous,-0.125,-0.09,0.057,1.5707963267949,0,0,base_link,0,0,-1,,,,,,,,,,,,
w2_link,0,0,5.55111512312578E-17,0,0,0,0.258835255001734,0.000194189872502159,9.59203390270988E-37,1.72794721239877E-21,0.000194189872502159,8.31976319669812E-53,0.000353817262685931,0,0,0,0,0,0,package://car_model/meshes/w2_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_model/meshes/w2_link.STL,,wheel-2,Coordinate w2,Axis4,w2_joint,continuous,0.125,-0.09,0.057,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
w3_link,0,2.77555756156289E-17,1.38777878078145E-17,0,0,0,0.258835255001734,0.000194189872502159,9.59203390270988E-37,2.61897774471385E-36,0.000194189872502159,1.59780146010327E-52,0.000353817262685931,0,0,0,0,0,0,package://car_model/meshes/w3_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_model/meshes/w3_link.STL,,wheel-3,Coordinate w3,Axis4,w3_joint,continuous,0.125,0.09,0.057,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
w4_link,-1.73472347597681E-18,0,2.77555756156289E-17,0,0,0,0.258835255001734,0.000194189872502159,6.33074237578851E-36,1.72794721239877E-21,0.000194189872502159,-1.15104406832518E-36,0.000353817262685931,0,0,0,0,0,0,package://car_model/meshes/w4_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_model/meshes/w4_link.STL,,wheel-4,Coordinate w4,Axis5,w4_joint,continuous,-0.125,0.09,0.057,1.5707963267949,0,0,base_link,0,0,-1,,,,,,,,,,,,
